Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,Harm Score,Divestment (Y/N),Annual Revenues (Mn) - original,Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,description,Thumbnails,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other ,Tags
Avon Protection,Y,MD,,2003,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://www.avon-protection.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,,
Avtec,Y,SC,190,1979,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,$85.0,$85.00,2017,,,,,,http://www.avtecinc.com/,https://www.apcointl.org/commercial-community/corporate-partner-program.html,,,PrivCo (www.privco.com),,
AW Direct,Y,WI ,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.awdirect.com/,http://ajaproductserviceresource.com/,,,,,
AW Enterprises,Y,IL,,1962,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://awenterprises.com/case-guys/,http://correctionsmarketplace.com/,,,,,
AW Gifford Locksmith,Y,MA,,1866,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://www.giffordlock.com/,http://ajaproductserviceresource.com/,,,,,
Axel Johnson,Y,NY,4000,1920,,Michael Milligan,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,,,,,,,"$3,400.0","$3,400.00",2019,,,,,,https://axeljohnson.com/,See Parkson Corporation,,,https://axeljohnson.com/about/,,
Axis Communications,Y,Sweden,2865,1984,,Ray Mauritsson,,Canon,CAJ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,11,checked,,,,,,,,,https://www.axis.com/,https://www.axis.com/en-in/solutions-by-industry/prisons-and-correctional-facilities,,,,https://www.axis.com/en-us/about-axis/corporate-governance,
Axon (formerly TASER),Y,AZ,1155,1993,,Patrick W. Smith,,,AAXN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Personnel,Staff Training,,,15,checked,$530.9,$530.90,2019,checked,"$4,950.0",,,,https://www.axon.com/,https://www.axon.com/industries/corrections,,,FactSet,http://www.ijis.org/?page=Member_List,
A-Z Used Bus Sales,Y,CA,,1976,,,,,,Tier 4 - Small Privately-Owned,Transportation,Prison Transportation,,,,,,,,,,,,,,,http://www.a-zbus.com/,http://correctionsmarketplace.com/,,,,,
Aztec Software Associates,Y,NJ,62,1980,,Jonathan Blitt,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,http://www.aztecsoftware.com/,California Spending Data - 2018,,,,http://www.corrections.com/vendor/profile/2528,
Azure Photonics USA,Y,CA,200,2000,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.azurephotonicsus.com/,http://correctionsmarketplace.com/,,,,,
B&C Technologies,Y,FL,,2003,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://bandctech.com/index.php,http://doc.ok.gov/closed-bids,,,,,
B&E Communications,Y,MS,,1976,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,,,,,,checked,,,,,http://www.becomminc.com/,See website,,,,,
B&T AG,Y,Switzerland,,1991,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.bt-ag.ch/site/eng/startseite,See website,,,,,
B2 Constructors,Y,GA,,2015,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,http://www.b2constructors.com/,http://www.b2constructors.com/category/work-in-progress/,,,,,
BAC Music Shop,Y,KS,,,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,checked,,,,,,,,,,,https://www.bacmusicshop.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,,https://www.nationalcia.org/statistical-reports,,,
Badlands Quilting,Y,SD,,1999,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,checked,,,,,,,,,,,https://www.facebook.com/badlandsquilting/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,,https://www.nationalcia.org/statistical-reports,,,
BAE Systems,Y,United Kingdom,85800,1996,,Charles Woodburn,,,BA-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,15,checked,"$22,782.4","$22,782.40",2019,,,Financials converted from GBP,,,https://www.baesystems.com/,See Fairchild Imagery,,,FactSet,,
Bailey Boiler Works,Y,TX,,1956,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.baileyboiler.com/,TDCJ Spending,,,,,
Bailey's Firearms Country,Y,TX,,2011,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,,TDCJ Spending,,,,http://www.buzzfile.com/business/Bailey!s-Firearm-Country-Inc-713-433-2475,
Bain Capital,Y,MA,1000,1984,,Steve Pagliuca,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,8,,,,,,,,,,https://www.baincapital.com/,See Varsity Brands,,,,,
Bake Crafters Food,Y,TN,,1990,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,https://bakecrafters.com/,http://ajaproductserviceresource.com/,,,,,
Baker Distributing,Y,FL,,1945,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.bakerdist.com/,http://doc.ok.gov/closed-bids,,,,,
Baker Feed & Country Store,Y,FL,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.bakerfeedandcountrystore.com/,http://www.dc.state.fl.us/business/contracts/,,,,,
Baltimore Aircoil,Y,MD,,1938,1985,,,AMSTED Industries,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.baltimoreaircoil.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,,,
Bank of America,Y,NC,209000,1998,,Brian T. Moynihan,,,BAC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",,,checked,,9,,"$91,244.0","$91,244.00",2019,,,,,,https://www.bankofamerica.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,,FactSet,https://www.majorcitieschiefs.com/sponsors.php,
Bankers Financial Corporation,Y,FL,755,1976,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Community Corrections,Bail & Surety,,,,,,,$487.0,$487.00,2018,,,,,,https://bankersfinancialcorp.com/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,,,PrivCo (www.privco.com),,
Bankers Life & Casualty Company,Y,IL,,1879,,,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,Investor,"Construction, Equipment, & Acquisition Financing",,,12,checked,,,,,,,,,https://www.bankerslife.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,,,,,
Bannum,Y,FL,,,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Residential Programs,,,,,,,,,,checked,,,,,,https://www.gao.gov/products/B-411074.5,,,,https://www.prisonlegalnews.org/news/2017/feb/8/federal-halfway-house-contractor-files-unsuccessful-suit-against-bureau-prisons/,
Banyan,Y,FL,,,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Residential Programs,,,,,,,,,,,,,,,https://www.banyantreatmentcenter.com/,https://www.bop.gov/business/rrc_directory.jsp,,,,,
Barbco (dba Rudy Love Distributing),Y,OH,105,1989,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.barbco.com/,http://www.txsmartbuy.com/contracts/view/1874,,,PrivCo (www.privco.com),,
Barclays,Y,United Kingdom,83500,1690,,Jes Staley,,,BCS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",,,,,9,,"$28,238.4","$28,238.40",2019,,,Financials converted from GBP,,,https://www.home.barclays/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,,,FactSet,,
Barfield,Y,FL,230,1945,2014,,,Air France KLM,AF-FR,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,8,,$70.0,$70.00,2014,,,Acquired by Air France KLM in 2014,,,http://www.barfieldinc.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=AC70CE&Tab=1,,,https://www.wsj.com/articles/air-france-klm-to-buy-barfield-1395064953,http://www.aviationtoday.com/2014/03/17/air-france-klm-to-acquire-barfield/,
Barkley Andross,Y,CA,,2004,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,http://www.barkleyandrosscorp.com/,FBOP Spending,,,,,
Barling Bay ,Y,SC,,2002,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,checked,,,,,,,,,,,,http://www.barlingbay.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,,
Barnes & Noble,Y,NY,26000,1965,2019,,Elliott Management,,,Tier 2 - Investment Firm-Owned,Programs & Labor,"Education Services, Materials, & Technology",Food & Commissary,Care Packages,,,8,,"$3,662.3","$3,662.30",2018,,,Acquired by Elliott Management in 2019,,,http://www.barnesandnobleinc.com/,FL DOC Spending,,,Intrinio (www.intrinio.com),https://www.barnesandnobleinc.com/press-release/elliott-completes-acquisition-barnes-noble/,
Baron Spices,Y,MO,,1983,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,http://www.baronspices.com/,TDCJ Spending,,,,,
Barrel O'Fun Snack Foods,Y,MN,700,1973,2015,,Ontario Teachers' Pension Plan,Shearer's Foods,,Tier 2 - Investment Firm-Owned,Food & Commissary,Commissary,,,,,8,,,,,,,Aquired by Shearer's Foods & the Ontario Teachers' Pension Plan in 2015,,,https://www.barrelofunsnacks.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,,http://www.bakingbusiness.com/articles/news_home/Business/2015/10/Another_snack_grab_Shearers_bu.aspx?ID=%7BAA39FD23-8CED-4D63-B6F4-C8FE578D2BB9%7D&cck=1,
Barrett Industries,Y,NJ,,1854,1979,,,Colas Group,RE-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,,,12,checked,,,,,,Acquired by Colas in 1979,,,https://barrettindustries.com/,See Barrett Paving Materials,,,,http://www.colasusa.com/about-us/index.html,
Barrett Paving Materials,Y,NJ,,1854,,,,Colas Group/Barrett Industries,RE-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,,,,,9,,,,,,,Created as specialty subsidiary,,,http://www.barrettpaving.com/,NYS DOCCS Spending,,,,,
Barsco,Y,TX,,1934,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,http://www.barsco.com/,TDCJ Spending,,,,,
Bass Computers,Y,TX,,2001,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.basscomputers.com/index.asp,TDCJ Spending,,,,,
Bates Footwear,Y,IN,,1885,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.batesfootwear.com/,https://www.batesfootwear.com/US/en/mens-tactical-footwear/,,,,,
Baxter,Y,IL,47000,1931,,José E. Almeida,,,BAX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,,,,,8,,"$11,362.0","$11,362.00",2019,,,,,,https://www.baxter.com/,OH DRC Spending,,,FactSet,,
Baxter Mfg,Y,WA,,1958,,,,Illinois Tool Works/ITW Food Equipment,ITW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,,,,,,Acquisition history unknown,,,https://www.baxtermfg.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,,,
Bay Environmental,Y,FL,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,,http://www.dc.state.fl.us/business/contracts/ATC-16-017.pdf,,,,,
Bay Medical Company,Y,CA,160,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Equipment,,,,,,,,,,,,,,,https://bay-medical.com/,California Spending Data - 2018,,,,,
Bay Product Development,Y,WI,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,,,,https://www.bayproduct.net/,https://www.bayproduct.net/about-us,,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,
Bayco Products (dba Nightstick),Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://www.baycoproducts.com/,https://www.baycoproducts.com/product,,,,,
Bayer,Y,Germany,103000,1863,,Werner Baumann,,,BAYZF,Tier 1b - Publicly Traded - Other,Healthcare,Other,Healthcare,Medical Equipment,,,7,,"$43,545.0","$43,545.00",2019,,,,,,https://www.bayer.com/,See Monsanto,,,FactSet,,
Baytech Supply,Y,TX,,1994,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.baytechsupply.com/,TDCJ Spending,,,,,
BBG Contracting Group,Y,FL,,1997,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,http://bbgcontracting.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,,
Beach Construction,Y,FL,,1991,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,,http://www.dc.state.fl.us/business/contracts/,,,,,
Beam Mack Sales & Service,Y,NY,290,1951,,,,,,Tier 4 - Small Privately-Owned,Transportation,Agency Transportation,,,,,,,$170.0,$170.00,2018,,,,,,http://www.beammack.com/,NYS DOCCS Spending,,,PrivCo (www.privco.com),,
Bearaide,Y,AZ,,1985,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://bear-aide.com/,See website,,,,,
Behavioral Systems Southwest,Y,CA,210,,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Residential Programs,Community Corrections,Day Reporting Center,,,,,$41.0,$41.00,2018,checked,,,,,http://behavioralsystemssouthwest.com/,https://www.bop.gov/business/rrc_directory.jsp,,,PrivCo (www.privco.com),,
Behlen Manufacturing,Y,NE,870,1936,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Programs & Labor,Vocation/Industries (Prison Labor),,,,checked,,,$180.0,$180.00,2018,,,,,,https://www.behlenmfg.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,,https://www.nationalcia.org/statistical-reports,PrivCo (www.privco.com),,
Behrman Capital,Y,NY,20,1991,,Grant Behrman,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,9,,,,,,,,,,http://www.behrmancap.com/,See Pelican Products,,,,,
Bell & Associates Construction,Y,TN,180,1970,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,,,,,,,$188.0,$188.00,2018,,,,,,http://balp.com/,https://aja.multiview.com/,,,PrivCo (www.privco.com),,
